Rest. Name,review
Vine Bar London,"We can only thank you again for your visit and your kind words. We are immensely looking forward to seeing you again. Amarone will be waiting! 

All the best, 

VBL team.
"
Vine Bar London,"We loved Vine Bar from start to finish. Irena is like a ray of sunshine making us feel very welcome giving us prosecco, olives and bread on the house despite us only coming for drinks. We had a glance at the food menu and a...look and what was being served and we can’t wait to come back to try. What a great find for the south west of London!
"
Vine Bar London,"Hi there,

I would like to express our sincere gratitude for your review. It means so much to us and we are so happy you had a good time with us. 

We greatly look forward to having you with us again soon to try our...
"
Vine Bar London,"I booked a table for my teenage daughter and her three friends.  They had difficult finding it and were scolded by the staff for being late despite calls to notify them.  To begin with they had difficulty being allowed in as the staff didn't believe...they were 17 and told one girl she looked 12.  They were angry as they seemed to assume the girls were going to try and buy alcohol which wasn't their intention!  I told them when I booked it that it was for my daughter so that might have been a good time to tell me there was a minimum age limit.  Two of the girls wanted to pay with cash but were told they 'don't do change' so ended up having to pay more than their share of the bill.  This was not deducted from the others so between them they paid £70 instead of £53.  That's one hell of a service charge!  The fact that they enjoyed their carbonara hardly seems worth mentioning.  After all that the staff even asked the girls to give them a review on trip advisor!  These girls are polite, well-intentioned and NOT entitled - I don't know why they were so badly treated.
"
Vine Bar London,"My partner and I had a meal here on a Saturday evening. The place looks so unassuming from the outside but  is very nice inside. The best thing about the place is the service, Irena our waitress was simple amazing. Irena was friendly and extremely...knowledgable about the menu and wine options available. We started with some grilled vegetables and some anchovies, all very tasty. My partner then had the Sherwood, ravioli with truffles. I had an excellent pasta Norma, in fact one of the better ones I have had. The last courses are large and after the starters and pasta we were simply too full to have dessert. We will certainly go again as it typifies what an excellent neighbourhood Italian restaurant should be.
"
Vine Bar London,"Went out for lunch with a friend in Vauxhall after my visa appointment and this place did not disappoint. The service was lovely, Irene looks after you and makes diligent suggestions (including alcohol based on the temperature that time of the day). Equally, her outfit...was entirely from charity shops so bonus point for sustainability, as well as recommending me a new charity shop near to Clapham junction. The other staff were incredibly friendly too and asked how we were in a non-invasive manner. Honestly their service makes up for the location being next to a busy road and not the river. The food was also excellent and I highly recommend their gnocchis if you are looking for a nice light lunch. Overall, a fantastic little find and well worth the praise, just going off of the service alone!
"
Vine Bar London,"Was honestly blown away by the hospitality of the staff and the quality of the food. We were welcomed on arrival by the wonderful team and they even gave us free limoncello to celebrate another guests birthday. Would visit again.
"
Vine Bar London,"Very enjoyable Italian dining experience. 

We live close by and have visited twice so far - we will definitely be back again soon. Relatively small and intimate inside, but with a very warm, relaxed and friendly atmosphere. 

Very friendly and attentive staff - excellent menu...which has a wide range of delicious Italian pasta dishes, with a good mix of vegetarian and vegan options. Also tasty authentic Italian beers available.
"
Vine Bar London,"Thank you! We hope all our guests leave us as friends so it means a lot to hear you say such lovely things. We look forward to seeing you again soon. 

All the best, 

VBL team
"
Tower Tandoori,"We visited the restaurant this evening. The staff were very friendly and helpful.  The Service  was excellent and the food was amazing. The chicken Tikka was succulent an the Lamb shank just fell away from the bone. 

They are currently offering a limited dine in...menu but we’re keen to point out the chef would prepare you something off the take away menu if you wanted.  Unfortunately the people on the table next to us thought this meant you could eat in but only pay the take away menu prices!  When it was explained they had only been given that menu to help them choose items that weren’t on the dine in menu, they became very rude and said they wanted to eat in but pay the price on the take away menu.  The manager dealt with the situation very professionally but it a shame they had to justify charging a different price for dining in when the hospitality industry is desperately trying to recover from the loss of revenue due to the pandemic.
"
Tower Tandoori,"We walked here from Tower Bridge on recommendation of Oakham Curry Club member; glad we did. It was very early evening so there were lots of waiters on hand and only a few diners, so clearly the service was sharp and attentive.
 Everything about our...meal was as good as I could have hoped. We had Smokey lamb chops as a starter followed by Dahaba Gohst, Chicken Tikka jalfrezi with black lentils and spinach paneer rice and naan.  Great flavours and a decent quantity of food too. With a bottle of wine and service it came to about £86 for us both. We also appreciated the fact that the menu, as displayed on their web site was compact.

So why have I not awarded this restaurant the coveted 5 stars. 1) I would have preferred a beer with my meal ( though the red wine was fine) but there was only cobra or kingfisher on offer and 2) the initial feeling of the interior was a bit underwhelming. The toilets were super modern and clean.
"
Tower Tandoori,"The food was absolutely amazing. Not once during our visit did the staff steer us wrong. If it wasn’t on the menu, we were encouraged to ask because the chefs would do what they could. Dipok, sorry is misspelled, was an absolutely gem. He answered...everyone of my questions and offered the most delicious suggestions. We had such a great time that in our three day visit, we will be going back.
"
Tower Tandoori,"Highly recommend this restaurant. Exceptional food and lovely welcoming atmosphere. 
Although the menu appears quite limited they are happy to cook anything you ask for. The staff are friendly and attentive without being over the top.
The food was cooked to perfection and beautifully presented....The chef is obviously passionate about what he does and it shows. This is quite possibly my favourite Indian restaurant.
"
Tower Tandoori,"I dont often write reviews but felt I should. At the Tower Tandoori we had a flavoursome ,delicious meal, with a friendly comfortable atmosphere and service. 
With a reduced menu due to covid they would also cook a dish that you requested.  
Will be going...back.
"
Tower Tandoori,"Having waited for 1.30 minutes for my takeway....the food that arrived was appalling...not one dish even looked or tasted as is should. 

The whole order had been cobbled together by someone who had no experience or care in what they were doing! 

Truly awful food!...Avoid.
"
Tower Tandoori,"Probably the 2nd best Indian restaurant I have ever been to. Limited menu, but when you sit down the waiter says if you want something that's not on the menu they will make  it for you if they can.
  The flavours in the food are...amazing, even in the hot dishes the heat doesn't over power the taste. 
  The staff are very friendly  and helpful, providing a great service 👍. 
  Went here with my wife and 2 kids 10 and 12 year old.
Our bill was just over £100 for 2 courses and drinks. 
  Well worth a visit, I will definitely visit again when I'm in London. 
    Keep up the good work guys.
"
Tower Tandoori,"We came across this curry house while staying in elephant and castle. I have 3 really fussy eaters who love curry (but no bits in the sauce as they would say 🙄) The guys were great, very helpful and understanding. The food was amazing, probably...one of the best curries we have had in the UK. Wish we lived closer. Will definitely be back if in the area again. Thank you Tower Tandori.
"
Tower Tandoori,"Fantastic Indian cuisine. Me and my Japanese wife thoroughly enjoyed it.  We didn’t want too spicy and the owner was extremely helpful and friendly!  Perfect recommendations. What was most impressive is the owner recommended other restaurants to include a Japanese one. We will definitely visit...again and highly encourage you to try.
"
Tower Tandoori,"My friend and I had a lovely meal at tower tandoori - one of our locals! We couldn’t fault it, the food was delicious especially the dupiaza paneer. The servers were super attentive and accommodating to my friends vegan dietary requirements. We will be back!
"
Tower Tandoori,"Not been here for a while, was lovely to see a great new layout with more open space, refreshing refurbishment and the new menu tantalising. The chicken hit the spot with the right temperature on the tongue won't be forgetting that curry in a hurry....Rumon and his staff members super friendly as always creating the right ambience everytine, not forgetting to mention the play list and a certain twist to the update too. If you like free upgrades check this place out.
"
Tower Tandoori,"Best Indian food I’ve had!!  We were a hungry group of 7 .. came in late at night. They were very accommodating .. service was excellent.. the food… my kids loved the chicken masala.. very good esp using nana to dip on sauce… my favorites....The lamb shank and Rogan josh mutton.  A must eat .. made our trip to London memorable!
"
Tower Tandoori,"A lovely tandoori Indian restaurant in London Bridge and Bermondsey area, serving brilliant quality Indian takeaway for the meantime. Staff are so helpful, professional and maintaining social distancing and precautionary measures when handing over takeaway meals. Customer service is exactly how it should be.... courteous...and friendly! Can’t wait to visit the actual restaurant for a sit down meal when they reopen 👌🏽
"
Tower Tandoori,"So lucky to have the Tower Tandoori as our local Indian restaurant. The food is made with great care and always superb. I’ve eaten in many great curry houses in London and pound for pound this is the best for high quality food at a...great price.
"
Tower Tandoori,"Just as many others before us, we also enjoyed our dinner at Tower Tandoori.   We had a variety of dishes.  My husband had Lamb Vindaloo that was not on the menu, the kids obligatory chicken tikka masala and I had small portions of Dahl and...spinach paneer.   All dishes were very very tasty.  I especially enjoyed Nan bread and lamb chops appetizer.  The prices were moderate.  Be aware that unlike in  US restaurants, some dishes may not come w rice.  The service was very kind and attentive without being annoying.   The restaurant was very clean, and modern, including the bathroom.  Finally, It was really good to get away from the crowds of touristy places and enjoy dinner amongst the locals.   I am really happy we saw this restaurant in our walk to the Tower  Bridge.
"
Indian Room,"We visited from the US and left the normal tourist areas to try this high rated restaurant, it was truly a wonderful experience. Our server, Shahed, made sure we had a extra special experience. Our first real time eating Indian food out, so glad we...
"
Indian Room,"Thank you for the lovely review and totally agree-

Will see you next time when you come to London 

Take care
"
